Name,Brand,Price,Currency,Price per unit
Caldo casero de pollo 100% natural,Gallina Blanca,2.14,EUR,"2,14€ / 1 l"
Papel higienico doble rollo 2 capas,Bosque Verde,4.8,EUR,"0,40€ / 1 unidad"
Petit de fresa sin gluten,Danonino Danone,1.45,EUR,"4,83€ / 1 kg"
Nidos al huevo eroski,Eroski,1.33,EUR,"2,66€ / 1 kg"
Pieza,Plátano de Canarias,0.32,EUR,2€ / 1 kg
Papel cocina blanco doble capa doble rollo,Bosque Verde,2.35,EUR,"0,78€ / 1 unidad"
Atún claro aceite oliva (abre fácil solapin),Hacendado,5.02,EUR,"13,94€ / 1 kg"
"Calabacin verde ( venta por unidades ) ***sujeto a disponibilidad***, varios, granel(peso aproximado de la )",,0.93,EUR,"1,86€ / 1 kg"
Tomate frito,Hacendado,1.43,EUR,"1,19€ / 1 kg"
Garbanzo cocido,Hacendado,0.78,EUR,"1,95€ / 1 kg"
Servilleta papel 1 capa 30x30 cm blanca,Bosque Verde,1.29,EUR,"0,01€ / 1 unidad"
Azucar blanquilla,Hacendado,1.35,EUR,"1,35€ / 1 kg"
Leche entera,Hacendado,5.48,EUR,"0,91€ / 1 l"
Fuet espetec extra pieza,Hacendado,2.36,EUR,"2,36€ / 1 unidad"
Leche semidesnatada,Hacendado,5.42,EUR,"0,90€ / 1 l"
Huevos grandes L,Huevos Guillén,2.25,EUR,"0,19€ / 1 unidad"
Queso rallado mozzarella pizza-roma,Hacendado,1.59,EUR,"7,95€ / 1 kg"
Pan molde blanco familiar,Hacendado,1.25,EUR,"1,52€ / 1 kg"
Pan molde blanco sin corteza,Hacendado,1.24,EUR,"2,76€ / 1 kg"
Arroz redondo,Sos,1.82,EUR,"1,82€ / 1 kg"
Refresco de cola Zero azúcar,Coca-Cola Zero,3.95,EUR,"1,98€ / 1 unidad"
Papel cocina jumbo,Bosque Verde,3.45,EUR,"3,45€ / 1 rollo"
Papel higienico humedo aloe vera y camomila (desechable por el wc),Bosque Verde,1.55,EUR,"0,02€ / 1 unidad"
Pimiento rojo,Varios,1.14,EUR,"2,96€ / 1 kg"
